DCNo,ëfçﬁïiî‘,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
D40,BH012-275,1500,1800,1600,1500,1800,1500,1600,1500,1800,1500,1600,1500,1800,1600,1500,1500,1500,1500,1500,1500
D40,K3062-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,K3072-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,K3082-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,K3092-274,0,0,0,0,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
D40,K3102-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,K3182-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,K9012-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,KB272-274,800,800,800,600,800,800,800,600,800,800,800,800,600,800,800,800,800,800,800,600
D40,L2012-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0
D40,L2022-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L2062-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L6062-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L6202-274,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
D40,L6242-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L7052-274,400,400,400,400,400,400,400,400,400,400,200,400,400,400,400,400,400,400,400,400
D40,L7112-274,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
D40,L8032-274,0,0,0,0,0,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0
D40,L8052-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L8122-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L8132-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L8162-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L8262-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L9032-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,L9812-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,LF062-274,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
D40,LF102-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D40,LF142-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0